rank,feature,mean_abs_shap,mean_shap,positive_shap_pct_nonzero,negative_shap_pct_nonzero,zero_shap_pct,direction_consistency_pct,direction_consistency_label,mean_feature_value,median_feature_value,overall_direction
105,std_og_mou_pct_change_6_to_8,0.010347944684326649,-0.005392584949731827,29.37,70.63000000000001,0.0,70.63000000000001,Moderately consistent,7.476861852726857,-0.2537938142143711,Negative average contribution
106,total_og_mou_change_6_to_8,0.010284218937158585,-0.002893364755436778,37.32,62.68,0.0,62.68,Moderately consistent,1.5250739999999998,-0.10000000000000425,Negative average contribution
107,total_rech_data_8,0.010279681533575058,-0.005608017090708017,88.92999999999999,11.07,0.0,88.92999999999999,Strongly consistent,1.4263,1.0,Negative average contribution
108,total_rech_amt_8,0.009884227998554707,-0.0023199126590043306,42.65,57.35,0.0,57.35,Mixed,319.8185,220.0,Negative average contribution
109,loc_ic_t2t_mou_6,0.009867414832115173,-0.0014324896037578583,42.49,57.50999999999999,0.0,57.50999999999999,Mixed,45.955709000000006,15.68,Negative average contribution
110,loc_ic_t2m_mou_6,0.009487615898251534,0.0014671989483758807,43.37,56.63,0.0,56.63,Mixed,106.318013,56.31,Positive average contribution
111,total_ic_mou_max_6_8,0.0094643235206604,-6.490531814051792e-05,35.39,64.61,0.0,64.61,Moderately consistent,274.490771,169.995,Negative average contribution
112,recharge_amt_change_7_to_8,0.009304768405854702,-0.00424837926402688,22.33,77.66999999999999,0.0,77.66999999999999,Strongly consistent,0.2733,0.0,Negative average contribution
113,spl_og_mou_8,0.009237793274223804,-0.0007990084122866392,31.41,68.58999999999999,0.0,68.58999999999999,Moderately consistent,4.7515600000000004,0.0,Negative average contribution
114,std_og_t2m_mou_8,0.009094316512346268,-0.0035382523201406,32.57,67.43,0.0,67.43,Moderately consistent,89.01848100000001,3.28,Negative average contribution
115,recharge_amt_pct_change_6_to_8,0.008949851617217064,-0.00371141592040658,35.449999999999996,64.55,0.0,64.55,Moderately consistent,0.34838384990592197,-0.0728376394857375,Negative average contribution
116,std_og_t2t_mou_6,0.008512870408594608,-0.002358566038310528,21.77,78.23,0.0,78.23,Strongly consistent,76.58586399999999,0.0,Negative average contribution
117,loc_og_mou_max_6_8,0.008400188758969307,0.0011159505229443312,58.81999999999999,41.18,0.0,58.81999999999999,Mixed,187.931633,100.48,Positive average contribution
118,loc_ic_mou_pct_change_6_to_8,0.008356564678251743,-0.0006840547430329025,47.82,52.18000000000001,0.0,52.18000000000001,Mixed,1.4134880052591339,-0.0202172391152158,Negative average contribution
119,total_rech_amt_7,0.008131704293191433,-0.002686921041458845,35.05,64.95,0.0,64.95,Moderately consistent,319.5452,220.0,Negative average contribution
120,loc_ic_mou_7,0.008127603679895401,0.003925761207938194,69.62,30.380000000000003,0.0,69.62,Moderately consistent,163.0554315,92.025,Positive average contribution
121,roam_og_mou_min_6_8,0.008097375743091106,-0.0050724404864013195,4.18,95.82000000000001,0.0,95.82000000000001,Strongly consistent,2.8498909999999995,0.0,Negative average contribution
122,std_ic_mou_min_6_8,0.00809098407626152,0.00400757510215044,43.830000000000005,56.169999999999995,0.0,56.169999999999995,Mixed,16.438349,0.75,Positive average contribution
123,av_rech_amt_data_std_6_8,0.007619853131473064,-0.0003937779401894659,82.64,17.36,0.0,82.64,Strongly consistent,18.936829431385682,8.013876853447538,Negative average contribution
124,loc_og_t2t_mou_6,0.00758311478421092,0.0022641478572040796,43.87,56.13,0.0,56.13,Mixed,43.68569599999999,11.93,Positive average contribution
125,recharge_amt_change_6_to_8,0.007577227894216776,0.0005789216374978423,47.199999999999996,52.800000000000004,0.0,52.800000000000004,Mixed,-6.5648,0.0,Positive average contribution
126,loc_og_t2m_mou_6,0.0075487601570785046,-0.0020418711937963963,62.79,37.21,0.0,62.79,Moderately consistent,91.384077,41.06,Negative average contribution
127,std_ic_t2m_mou_8,0.007440574467182159,-0.00015018404519651085,57.85,42.15,0.0,57.85,Mixed,20.666027,2.0,Negative average contribution
128,loc_og_mou_7,0.00737268989905715,-0.0007376742432825267,51.739999999999995,48.26,0.0,51.739999999999995,Mixed,136.09058000000002,63.52,Negative average contribution
129,total_og_mou_min_6_8,0.007368478458374739,-0.000541364774107933,24.65,75.35,0.0,75.35,Strongly consistent,180.40426000000002,65.11500000000001,Negative average contribution
