model,curve_type,x_value,y_value,threshold
Logistic Regression,ROC,0.005567043104819469,0.2938288920056101,0.8044164356786195
Logistic Regression,ROC,0.005646572292031175,0.2938288920056101,0.8041313735244442
Logistic Regression,ROC,0.005646572292031175,0.29453015427769985,0.8039192890251918
Logistic Regression,ROC,0.0058056306664545886,0.29453015427769985,0.8038002017283572
Logistic Regression,ROC,0.0058056306664545886,0.3008415147265077,0.7994169176546172
Logistic Regression,ROC,0.005885159853666296,0.3008415147265077,0.7988724196696305
Logistic Regression,ROC,0.005885159853666296,0.30504908835904626,0.7966339986291081
Logistic Regression,ROC,0.005964689040878002,0.30504908835904626,0.7965997926025566
Logistic Regression,ROC,0.005964689040878002,0.3071528751753156,0.7955038996280753
Logistic Regression,ROC,0.006044218228089709,0.3071528751753156,0.7950027391432574
Logistic Regression,ROC,0.006044218228089709,0.3085553997194951,0.7944294480900743
Logistic Regression,ROC,0.0062032766025131225,0.3085553997194951,0.7934914818688974
Logistic Regression,ROC,0.0062032766025131225,0.30925666199158486,0.7926150062983072
Logistic Regression,ROC,0.006282805789724829,0.30925666199158486,0.7919074857041866
Logistic Regression,ROC,0.006282805789724829,0.30995792426367463,0.791838026891031
Logistic Regression,ROC,0.006362334976936536,0.30995792426367463,0.7916819939170129
Logistic Regression,ROC,0.006362334976936536,0.3155680224403927,0.7889056708062818
Logistic Regression,ROC,0.006441864164148242,0.3155680224403927,0.7888469254691177
Logistic Regression,ROC,0.006441864164148242,0.3190743338008415,0.7872807198952332
Logistic Regression,ROC,0.006521393351359949,0.3190743338008415,0.7863383464470725
Logistic Regression,ROC,0.006521393351359949,0.31977559607293127,0.7862365847721341
Logistic Regression,ROC,0.0066009225385716555,0.31977559607293127,0.7861440037750347
Logistic Regression,ROC,0.0066009225385716555,0.32047685834502104,0.7861125181974036
Logistic Regression,ROC,0.006680451725783363,0.32047685834502104,0.7856017311391178
Logistic Regression,ROC,0.006680451725783363,0.32187938288920054,0.7844505563436929
Logistic Regression,ROC,0.006759980912995069,0.32187938288920054,0.7840284328537505
Logistic Regression,ROC,0.006759980912995069,0.3225806451612903,0.7838673437585035
Logistic Regression,ROC,0.006839510100206776,0.3225806451612903,0.7830889594515653
Logistic Regression,ROC,0.006839510100206776,0.32538569424964936,0.7824208451063602
Logistic Regression,ROC,0.006919039287418482,0.32538569424964936,0.782214269324321
Logistic Regression,ROC,0.006919039287418482,0.3281907433380084,0.7800999232406702
Logistic Regression,ROC,0.0069985684746301895,0.3281907433380084,0.779792494267949
Logistic Regression,ROC,0.0069985684746301895,0.3302945301542777,0.7781789126063836
Logistic Regression,ROC,0.007078097661841896,0.3302945301542777,0.7776105837969792
Logistic Regression,ROC,0.007078097661841896,0.33099579242636745,0.7775717650878929
Logistic Regression,ROC,0.007237156036265309,0.33099579242636745,0.7770605397429659
Logistic Regression,ROC,0.007237156036265309,0.33520336605890605,0.7752474625546953
Logistic Regression,ROC,0.007316685223477016,0.33520336605890605,0.7751997216548359
Logistic Regression,ROC,0.007316685223477016,0.33590462833099577,0.7751526810488444
Logistic Regression,ROC,0.0073962144106887225,0.33590462833099577,0.7750691077252322
Logistic Regression,ROC,0.0073962144106887225,0.3387096774193548,0.7739102282887856
Logistic Regression,ROC,0.00747574359790043,0.3387096774193548,0.7732413886232903
Logistic Regression,ROC,0.00747574359790043,0.3394109396914446,0.7728269889572766
Logistic Regression,ROC,0.007555272785112136,0.3394109396914446,0.7725925449578649
Logistic Regression,ROC,0.007555272785112136,0.34011220196353437,0.7719642002558195
Logistic Regression,ROC,0.007634801972323843,0.34011220196353437,0.7713579921367868
Logistic Regression,ROC,0.007634801972323843,0.34221598877980364,0.7698189391280094
Logistic Regression,ROC,0.0077938603467472565,0.34221598877980364,0.7690241527809657
Logistic Regression,ROC,0.0077938603467472565,0.3429172510518934,0.7690102358723067
Logistic Regression,ROC,0.008032447908382376,0.3429172510518934,0.7680296490696814
Logistic Regression,ROC,0.008032447908382376,0.35133239831697055,0.765558316079618
Logistic Regression,ROC,0.00819150628280579,0.35133239831697055,0.7654810192997301
