feature,mean_cv_auc,cv_auc_std,stable_folds,stability_rate
total_rech_amt_6,0.5073075042803141,0.002092863181523979,0,0.0
max_rech_amt_6,0.5351314886038366,0.008478811771836674,0,0.0
isd_ic_mou_change_7_to_8,0.5145071261043478,0.005432558101045079,0,0.0
max_rech_data_min_6_8,0.5055124122778725,0.003361165469086942,0,0.0
arpu_6,0.5141925593506074,0.0072958619049196954,0,0.0
isd_ic_mou_std_6_8,0.5479008762308661,0.004044494372611835,2,0.4
isd_ic_mou_8,0.5546879759714909,0.0025561798261014308,5,1.0
vol_3g_mb_change_6_to_8,0.5474563307838907,0.0042479784860731465,1,0.2
total_rech_data_min_6_8,0.5076578706631613,0.0017171366538923669,0,0.0
vol_2g_mb_change_6_to_8,0.5617132337129396,0.007670604592990229,5,1.0
av_rech_amt_data_min_6_8,0.5064955521974002,0.0024935311501850855,0,0.0
aug_vbc_3g,0.558945290836791,0.0023976505549151363,5,1.0
loc_og_t2c_mou_8,0.5649281159149981,0.003013320195220984,5,1.0
count_rech_2g_7,0.5116996169984074,0.0039830856476159296,0,0.0
total_rech_data_6,0.5087732379834452,0.0051703564397955915,0,0.0
roam_og_mou_6,0.5588854882635058,0.004577293991413736,5,1.0
arpu_max_6_8,0.5057390238535235,0.004179291667173166,0,0.0
sachet_2g_8,0.5523060003266045,0.0018468284363130638,5,1.0
av_rech_amt_data_6,0.5114514135051181,0.005112566175891058,0,0.0
voice_rech_recency_6_high_flag,0.5109631002032767,0.006972378004602328,0,0.0
vol_2g_mb_7,0.5497136045115165,0.003871125302244165,3,0.6
av_rech_amt_data_std_6_8,0.5506608260961536,0.009019171160179218,3,0.6
recharge_count_max_6_8,0.5275623361828016,0.005145973482506473,0,0.0
total_rech_data_std_6_8,0.5459996923008438,0.0036288448976688494,1,0.2
std_ic_t2f_mou_7,0.5676693905598726,0.005157001171945112,5,1.0
av_rech_amt_data_pct_change_6_to_8,0.5110536978857263,0.003114684724013226,0,0.0
vol_3g_mb_min_6_8,0.5395146027039112,0.0026382946901670067,0,0.0
monthly_2g_8,0.534551644438789,0.0023217461826284176,0,0.0
std_ic_t2t_mou_7,0.5385955548967057,0.008798949701833233,1,0.2
isd_ic_mou_pct_change_6_to_8,0.5171001512567794,0.003286206129136127,0,0.0
std_og_t2f_mou_8,0.5467014519993981,0.004209170842904389,1,0.2
isd_ic_mou_pct_change_7_to_8,0.5139806551827817,0.0041938810406327775,0,0.0
total_rech_data_pct_change_6_to_8,0.507284502826286,0.0032737009679830596,0,0.0
count_rech_2g_6,0.5068120394942215,0.002542496392793787,0,0.0
arpu_2g_7,0.5066100776575456,0.004211898812039731,0,0.0
total_rech_data_max_6_8,0.5139033074850516,0.00706782677407157,0,0.0
last_day_rch_amt_6,0.5416435722469457,0.00634092949346826,0,0.0
total_rech_num_6,0.5040761306179993,0.0013366830605336495,0,0.0
max_rech_data_pct_change_6_to_8,0.5091409752790094,0.0018993218406747432,0,0.0
count_rech_3g_8,0.5355090666798917,0.0029375247359593464,0,0.0
isd_og_mou_change_6_to_8,0.5021277990377365,0.001912600190890938,0,0.0
max_rech_data_std_6_8,0.5355879420742014,0.0024301934486245917,0,0.0
ic_others_7,0.5475283318237777,0.0032105808414542897,1,0.2
roam_ic_mou_6,0.549939865110777,0.006158338189086433,2,0.4
std_ic_t2f_mou_6,0.5513828408374105,0.0022415364948482077,3,0.6
spl_og_mou_6,0.5070763450013811,0.005944420931833099,0,0.0
data_rech_recency_8_high_flag,0.5393524837866719,0.0010754715663247505,0,0.0
loc_og_t2c_mou_7,0.5129535466170545,0.005091900068262847,0,0.0
isd_og_mou_std_6_8,0.5114504927814327,0.0033256014275427023,0,0.0
