feature,mutual_information,mi_rank
ic_others_6,0.0007508139973801953,276
monthly_3g_6,0.000725958463976939,277
monthly_2g_6,0.0006863099662355321,278
data_rech_recency_6_high_flag,0.0006396380098749876,279
vol_2g_mb_6,0.0006123146408383295,280
isd_og_mou_change_7_to_8,0.0005983699937752718,281
sachet_3g_8,0.0005878630488422854,282
std_og_t2o_mou,0.0005679853968270088,283
arpu_2g_6,0.0005620769016714267,284
std_og_t2c_mou_7,0.00044752376638901303,285
og_others_7,0.00039639299036231535,286
isd_ic_mou_min_6_8,0.0002835539927714681,287
vol_3g_mb_7,0.00025224560406411634,288
std_og_t2c_mou_6,0.0002510685743264407,289
std_og_t2t_mou_7,0.00018844895584035903,290
loc_og_t2o_mou,9.005491842817293e-05,291
og_others_8,4.209307596036993e-05,292
monthly_3g_7,0.0,293
sachet_2g_7,0.0,294
sachet_2g_6,0.0,295
std_ic_t2o_mou_8,0.0,296
night_pck_user_8,0.0,297
sachet_3g_7,0.0,298
isd_og_mou_min_6_8,0.0,299
night_pck_user_6,0.0,300
std_ic_t2o_mou_7,0.0,301
og_others_6,0.0,302
isd_og_mou_6,0.0,303
isd_og_mou_7,0.0,304
std_og_t2c_mou_8,0.0,305
std_og_t2f_mou_6,0.0,306
loc_og_t2c_mou_6,0.0,307
data_rech_recency_7_high_flag,0.0,308
